Time	Compartments[Venous balloon].Volume	Values[is_rising]	Values[is_falling]	Values[is_maximum]	Values[slope_up]	Values[maximum]	Values[slope_down]	Values[F_in]	Values[F_out]
246	0.02902645	0	0	1	0.2952	0.006	0.1428	0.018	0.018
247.5	0.02902645	0	0	1	0.297	0.006	0.141	0.018	0.018
249	0.02902645	0	0	1	0.2988	0.006	0.1392	0.018	0.018
250.5	0.02902645	0	0	1	0.3006	0.006	0.1374	0.018	0.018
252	0.02902645	0	0	1	0.3024	0.006	0.1356	0.018	0.018
253.5	0.02902645	0	0	1	0.3042	0.006	0.1338	0.018	0.018
255	0.02902645	0	0	1	0.306	0.006	0.132	0.018	0.018
256.5	0.02902645	0	0	1	0.3078	0.006	0.1302	0.018	0.018
258	0.02902645	0	0	1	0.3096	0.006	0.1284	0.018	0.018
259.5	0.02902645	0	0	1	0.3114	0.006	0.1266	0.018	0.018
261	0.02902645	0	0	1	0.3132	0.006	0.1248	0.018	0.018
262.5	0.02902645	0	0	1	0.315	0.006	0.123	0.018	0.018
264	0.02902645	0	0	1	0.3168	0.006	0.1212	0.018	0.018
265.5	0.02902645	0	0	1	0.3186	0.006	0.1194	0.018	0.018
267	0.02902645	0	0	1	0.3204	0.006	0.1176	0.018	0.018
268.5	0.02902645	0	0	1	0.3222	0.006	0.1158	0.018	0.018
270	0.02902645	0	0	1	0.324	0.006	0.114	0.018	0.018
271.5	0.02902645	0	0	1	0.3258	0.006	0.1122	0.018	0.018
273	0.02902645	0	0	1	0.3276	0.006	0.1104	0.018	0.018
274.5	0.02902645	0	0	1	0.3294	0.006	0.1086	0.018	0.018
276	0.02902645	0	0	1	0.3312	0.006	0.1068	0.018	0.018
277.5	0.02902645	0	0	1	0.333	0.006	0.105	0.018	0.018
279	0.02902645	0	0	1	0.3348	0.006	0.1032	0.018	0.018
280.5	0.02902645	0	0	1	0.3366	0.006	0.1014	0.018	0.018
282	0.02902645	0	0	1	0.3384	0.006	0.0996	0.018	0.018
283.5	0.02902645	0	0	1	0.3402	0.006	0.0978	0.018	0.018
285	0.02902645	0	0	1	0.342	0.006	0.096	0.018	0.018
286.5	0.02902645	0	0	1	0.3438	0.006	0.0942	0.018	0.018
288	0.02902645	0	0	1	0.3456	0.006	0.0924	0.018	0.018
289.5	0.02902645	0	0	1	0.3474	0.006	0.0906	0.018	0.018
291	0.02902645	0	0	1	0.3492	0.006	0.0888	0.018	0.018
292.5	0.02902645	0	0	1	0.351	0.006	0.087	0.018	0.018
294	0.02902645	0	0	1	0.3528	0.006	0.0852	0.018	0.018
295.5	0.02902645	0	0	1	0.3546	0.006	0.0834	0.018	0.018
297	0.02902645	0	0	1	0.3564	0.006	0.0816	0.018	0.018
298.5	0.02902645	0	0	1	0.3582	0.006	0.0798	0.018	0.018
300	0.02902645	0	0	1	0.36	0.006	0.078	0.018	0.018
301.5	0.02902645	0	0	1	0.3618	0.006	0.0762	0.018	0.018
303	0.02902645	0	0	1	0.3636	0.006	0.0744	0.018	0.018
304.5	0.02902645	0	0	1	0.3654	0.006	0.0726	0.018	0.018
306	0.02902645	0	0	1	0.3672	0.006	0.0708	0.018	0.018
307.5	0.02902645	0	0	1	0.369	0.006	0.069	0.018	0.018
309	0.02902645	0	0	1	0.3708	0.006	0.0672	0.018	0.018
310.5	0.02902645	0	0	1	0.3726	0.006	0.0654	0.018	0.018
312	0.02902645	0	0	1	0.3744	0.006	0.0636	0.018	0.018
313.5	0.02902645	0	0	1	0.3762	0.006	0.0618	0.018	0.018
315	0.02902645	0	0	1	0.378	0.006	0.06	0.018	0.018
316.5	0.02902645	0	0	1	0.3798	0.006	0.0582	0.018	0.018
318	0.02902645	0	0	1	0.3816	0.006	0.0564	0.018	0.018
319.5	0.02902645	0	0	1	0.3834	0.006	0.0546	0.018	0.018
321	0.02902645	0	0	1	0.3852	0.006	0.0528	0.018	0.018
322.5	0.02902645	0	0	1	0.387	0.006	0.051	0.018	0.018
324	0.02902645	0	0	1	0.3888	0.006	0.0492	0.018	0.018
325.5	0.02902645	0	0	1	0.3906	0.006	0.0474	0.018	0.018
327	0.02902645	0	0	1	0.3924	0.006	0.0456	0.018	0.018
328.5	0.02902645	0	0	1	0.3942	0.006	0.0438	0.018	0.018
330	0.02902645	0	0	1	0.396	0.006	0.042	0.018	0.018
331.5	0.02902645	0	0	1	0.3978	0.006	0.0402	0.018	0.018
333	0.02902645	0	0	1	0.3996	0.006	0.0384	0.018	0.018
334.5	0.02902645	0	0	1	0.4014	0.006	0.0366	0.018	0.018
336	0.02902645	0	0	1	0.4032	0.006	0.0348	0.018	0.018
337.5	0.02902645	0	0	1	0.405	0.006	0.033	0.018	0.018
339	0.02902645	0	0	1	0.4068	0.006	0.0312	0.018	0.018
340.5	0.02902645	0	0	1	0.4086	0.006	0.0294	0.018	0.018
342	0.02902645	0	0	1	0.4104	0.006	0.0276	0.018	0.018
343.5	0.02902645	0	0	1	0.4122	0.006	0.0258	0.018	0.018
345	0.02902645	0	0	1	0.414	0.006	0.024	0.018	0.018
346.5	0.02902645	0	0	1	0.4158	0.006	0.0222	0.018	0.018
348	0.02902645	0	0	1	0.4176	0.006	0.0204	0.018	0.018
349.5	0.02902645	0	0	1	0.4194	0.006	0.0186	0.018	0.018
351	0.02902645	0	0	1	0.4212	0.006	0.0168	0.018	0.018
352.5	0.02902645	0	0	1	0.423	0.006	0.015	0.018	0.018
354	0.02902645	0	0	1	0.4248	0.006	0.0132	0.018	0.018
355.5	0.02902645	0	0	1	0.4266	0.006	0.0114	0.018	0.018
357	0.02902645	0	0	1	0.4284	0.006	0.0096	0.018	0.018
358.5	0.02902645	0	0	1	0.4302	0.006	0.0078	0.018	0.018
360	0.02902645	0	1	0	0.432	0.006	0.006	0.018	0.018
361.5	0.02894996	0	1	0	0.4338	0.006	0.0042	0.0162	0.01630011
363	0.02873159	0	1	0	0.4356	0.006	0.0024	0.0144	0.0145893
364.5	0.02838707	0	1	0	0.4374	0.006	0.0006	0.0126	0.01286847
366	0.02796454	0	0	0	0.4392	0.006	-0.0012	0.012	0.01227186
367.5	0.02757827	0	0	0	0.441	0.006	-0.003	0.012	0.01224378
369	0.02723146	0	0	0	0.4428	0.006	-0.0048	0.012	0.01221917
370.5	0.0269193	0	0	0	0.4446	0.006	-0.0066	0.012	0.01219749
372	0.02663772	0	0	0	0.4464	0.006	-0.0084	0.012	0.01217833
373.5	0.02638323	0	0	0	0.4482	0.006	-0.0102	0.012	0.01216133
375	0.02615281	0	0	0	0.45	0.006	-0.012	0.012	0.01214619
376.5	0.02594385	0	0	0	0.4518	0.006	-0.0138	0.012	0.01213267
378	0.02575409	0	0	0	0.4536	0.006	-0.0156	0.012	0.01212057
379.5	0.02558153	0	0	0	0.4554	0.006	-0.0174	0.012	0.0121097
381	0.02542443	0	0	0	0.4572	0.006	-0.0192	0.012	0.01209993
382.5	0.02528125	0	0	0	0.459	0.006	-0.021	0.012	0.01209113
384	0.02515063	0	0	0	0.4608	0.006	-0.0228	0.012	0.01208317
385.5	0.02503136	0	0	0	0.4626	0.006	-0.0246	0.012	0.01207598
387	0.02492236	0	0	0	0.4644	0.006	-0.0264	0.012	0.01206946
388.5	0.02482269	0	0	0	0.4662	0.006	-0.0282	0.012	0.01206354
390	0.02473147	0	0	0	0.468	0.006	-0.03	0.012	0.01205817
391.5	0.02464794	0	0	0	0.4698	0.006	-0.0318	0.012	0.01205328
393	0.02457141	0	0	0	0.4716	0.006	-0.0336	0.012	0.01204883
394.5	0.02450126	0	0	0	0.4734	0.006	-0.0354	0.012	0.01204477
396	0.02443692	0	0	0	0.4752	0.006	-0.0372	0.012	0.01204107
397.5	0.02437788	0	0	0	0.477	0.006	-0.039	0.012	0.01203769
399	0.0243237	0	0	0	0.4788	0.006	-0.0408	0.012	0.0120346
400.5	0.02427394	0	0	0	0.4806	0.006	-0.0426	0.012	0.01203178
402	0.02422824	0	0	0	0.4824	0.006	-0.0444	0.012	0.01202919
403.5	0.02418625	0	0	0	0.4842	0.006	-0.0462	0.012	0.01202683
405	0.02414766	0	0	0	0.486	0.006	-0.048	0.012	0.01202466
406.5	0.02411218	0	0	0	0.4878	0.006	-0.0498	0.012	0.01202267
408	0.02407956	0	0	0	0.4896	0.006	-0.0516	0.012	0.01202085
409.5	0.02404955	0	0	0	0.4914	0.006	-0.0534	0.012	0.01201918
411	0.02402195	0	0	0	0.4932	0.006	-0.0552	0.012	0.01201765
412.5	0.02399655	0	0	0	0.495	0.006	-0.057	0.012	0.01201624
414	0.02397318	0	0	0	0.4968	0.006	-0.0588	0.012	0.01201494
415.5	0.02395167	0	0	0	0.4986	0.006	-0.0606	0.012	0.01201375
417	0.02393187	0	0	0	0.5004	0.006	-0.0624	0.012	0.01201266
418.5	0.02391364	0	0	0	0.5022	0.006	-0.0642	0.012	0.01201166
420	0.02389686	0	0	0	0.504	0.006	-0.066	0.012	0.01201073
421.5	0.0238814	0	0	0	0.5058	0.006	-0.0678	0.012	0.01200989
423	0.02386717	0	0	0	0.5076	0.006	-0.0696	0.012	0.0120091
424.5	0.02385406	0	0	0	0.5094	0.006	-0.0714	0.012	0.01200839
426	0.02384198	0	0	0	0.5112	0.006	-0.0732	0.012	0.01200772
427.5	0.02383086	0	0	0	0.513	0.006	-0.075	0.012	0.01200712
429	0.02382061	0	0	0	0.5148	0.006	-0.0768	0.012	0.01200656
430.5	0.02381117	0	0	0	0.5166	0.006	-0.0786	0.012	0.01200604
432	0.02380247	0	0	0	0.5184	0.006	-0.0804	0.012	0.01200557
433.5	0.02379445	0	0	0	0.5202	0.006	-0.0822	0.012	0.01200513
435	0.02378706	0	0	0	0.522	0.006	-0.084	0.012	0.01200473
436.5	0.02378026	0	0	0	0.5238	0.006	-0.0858	0.012	0.01200436
438	0.02377398	0	0	0	0.5256	0.006	-0.0876	0.012	0.01200401
439.5	0.0237682	0	0	0	0.5274	0.006	-0.0894	0.012	0.0120037
